Movie_Title,Genre,Director,Release_Year,Rating,Votes,Revenue,Runtime
Inception,Sci-Fi,Christopher Nolan,2010,8.8,2500000,839.7,148
The Dark Knight,Action,Christopher Nolan,2008,9.0,2800000,1005.0,152
Interstellar,Sci-Fi,Christopher Nolan,2014,8.7,2100000,701.7,169
Titanic,Romance,James Cameron,1997,7.9,1300000,2200.0,195
Avatar,Sci-Fi,James Cameron,2009,7.8,1400000,2923.0,162
The Godfather,Crime,Francis Ford Coppola,1972,9.2,1900000,250.0,175
Forrest Gump,Drama,Robert Zemeckis,1994,8.8,2200000,678.2,142
The Matrix,Sci-Fi,Lana Wachowski,1999,8.7,1900000,467.2,136
Gladiator,Action,Ridley Scott,2000,8.5,1700000,465.4,155
Joker,Drama,Todd Phillips,2019,8.4,1500000,1074.0,122
Avengers Endgame,Action,Anthony Russo,2019,8.4,1300000,2799.0,181
Parasite,Thriller,Bong Joon Ho,2019,8.5,900000,258.8,132
The Lion King,Animation,Jon Favreau,2019,6.8,1100000,1656.0,118
Toy Story,Animation,John Lasseter,1995,8.3,1000000,373.6,81
Finding Nemo,Animation,Andrew Stanton,2003,8.2,1100000,940.3,100
The Shawshank Redemption,Drama,Frank Darabont,1994,9.3,2800000,73.3,142
Pulp Fiction,Crime,Quentin Tarantino,1994,8.9,2200000,213.9,154
The Lord of the Rings,Fantasy,Peter Jackson,2001,8.8,1900000,871.5,178
Jurassic Park,Adventure,Steven Spielberg,1993,8.2,1600000,1092.0,127
Spider-Man,Action,Sam Raimi,2002,7.4,900000,825.0,121
